Name,birth_year,death_year,data_source_id
William Aldam,1813,1890,1
S  Stafford Allen,1840,1870,1
Edward Backhouse,1808,1879,1
James (1) Backhouse,1794,1869,1
James Bell,1818,1872,1
Antonio Brady,1811,1881,1
William Bull,1828,1902,1
Henry Christy,1810,1865,1
William Clay,1791,1869,1
x Collier,NA,NA,1
Henry Crowley,NA,1887,1
David Dale,1829,1906,1
James T J Doyle,NA,NA,1
Robert Nicholas Fowler,1828,1891,1
William Fowler,NA,NA,1
Charles Henry Fox,NA,NA,1
George Stacey Gibson,1818,1883,1
John Henry Gurney,1819,1890,1
Thomas (1) Hodgkin,1798,1866,1
William Holmes,NA,NA,1
Jonathan Hutchinson,1828,1913,1
Joseph Lister,1827,1912,1
William Horton Lloyd,NA,NA,1
J Robinson,NA,NA,1
John Ross,NA,NA,1
E T Wakefield,NA,NA,1
James Wilson,NA,NA,1
William Wilson,1785,1868,1
William Spicer Wood,NA,1902,1
Arthur Albright,NA,NA,3
Rachel Albright,NA,NA,3
William Albright,NA,NA,3
William Jun Aldam,NA,NA,3
Frederick Alexander,NA,NA,3
Samuel Allen,NA,NA,3
John Arch,NA,NA,3
R Arthington,NA,NA,3
R Jun Arthington,NA,NA,3
C Ashby,NA,NA,3
T Jun Ashby,NA,NA,3
Thomas Ashby,NA,NA,3
Thomas Jun Ashby,NA,NA,3
Catherine Backhouse,NA,NA,3
Jonathan Backhouse,NA,NA,3
S Baker,NA,NA,3
Robert Barclay,NA,NA,3
Richard Barrington,NA,NA,3
Edward Beck,NA,NA,3
Eliza Bell,NA,NA,3
Frederick J Bell,NA,NA,3
S S Bell,NA,NA,3
Samuel Bewley,NA,NA,3
x Biffin,NA,NA,3
J Binyon,NA,NA,3
E L Birkbeck,NA,NA,3
H Birkbeck,NA,NA,3
W Blaine,NA,NA,3
Elizabeth Bowley,NA,NA,3
Henry Brady,NA,NA,3
Charles L Braithwaite,NA,NA,3
L Braithwaite,NA,NA,3
Isaac Brown,NA,NA,3
Joshua Brown,NA,NA,3
Lydia Brown,NA,NA,3
Sarah Burgess,NA,NA,3
Thomas Burgess,NA,NA,3
W Catchpool,NA,NA,3
x Charleton,NA,NA,3
Samuel Clark,NA,NA,3
W Clemes,NA,NA,3
C Clothier,NA,NA,3
Joseph Cooper,NA,NA,3
George Crosfield,NA,NA,3
Joseph Crosland,NA,NA,3
A Crowley,NA,NA,3
A Dale,NA,NA,3
Elizabeth S Dawes,NA,NA,3
John Dodshon,NA,NA,3
Daniel Doncaster,NA,NA,3
Elizabeth Dyer,NA,NA,3
R Dymond,NA,NA,3
William Dyson,NA,NA,3
A Ellis,NA,NA,3
Thomas Evans,NA,NA,3
Ann Everett,NA,NA,3
Joseph Farden,NA,NA,3
John Fell,NA,NA,3
Mary Fell,NA,NA,3
S H Fisher,NA,NA,3
Caleb Fletcher,NA,NA,3
Martha Fletcher,NA,NA,3
John Ford,NA,NA,3
George Fox,NA,NA,3
Henry Fox,NA,NA,3
Robert Were Fox,NA,NA,3
x Fox,NA,NA,3
W Gayner,NA,NA,3
Joseph Gibbens,NA,NA,3
Ann Gibson,NA,NA,3
Francis Gibson,NA,NA,3
F  E Gibson,NA,NA,3
W G Gibson,NA,NA,3
T Gill,NA,NA,3
J Gillett,NA,NA,3
John Gillett,NA,NA,3
J Gilpin,NA,NA,3
James Gingell,NA,NA,3
John Good,NA,NA,3
Josiah Grace,NA,NA,3
Thomas Graham,NA,NA,3
John Green,NA,NA,3
T Gregory,NA,NA,3
G Grimshaw,NA,NA,3
x Hadfield,NA,NA,3
Isaac Hadwen,NA,NA,3
Robert Harding,NA,NA,3
Henry Harris,NA,NA,3
Lydia Harris,NA,NA,3
Thomas Harvey,NA,NA,3
George Head,NA,NA,3
Sarah Head,NA,NA,3
H Headley,NA,NA,3
W Hewitson,NA,NA,3
Charles Hicks,NA,NA,3
Elizabeth Hills,NA,NA,3
James Hills,NA,NA,3
John Hills,NA,NA,3
Gurney Hoare,NA,NA,3
Maria Hooper,NA,NA,3
J Hopkins,NA,NA,3
Rebecca Hopkins,NA,NA,3
Mary Horsnail,NA,NA,3
Elizabeth Howard (2),NA,NA,3
Elizabeth Howard,NA,NA,3
Thomas Hughes,NA,NA,3
Henry Hunt,NA,NA,3
T Hunt,NA,NA,3
J Hurnard,NA,NA,3
John C Isaac,NA,NA,3
John James,NA,NA,3
Charles Janson,NA,NA,3
Samuel Jesper,NA,NA,3
Benjamin Jowett (2),NA,NA,3
John Jun Jowett,NA,NA,3
Robert Jowett (2),NA,NA,3
John King,NA,NA,3
Samuel King,NA,NA,3
Thomas King,NA,NA,3
Alfred Kitching,NA,NA,3
C Knight,NA,NA,3
